id,department,address_type,input_address,fixed_address,address,po_box,city,state,zip_code,geocode_results,latitude,longitude,google_formatted_address
6794,Marion County Sheriff's Office,Street Address,"204 N Washington St  Salem, IL 62881","204 N Washington St Salem, IL 62881",204 N Washington,,St Salem,IL,62881,RANGE_INTERPOLATED,38.6279244,-88.9446072,"204 N Washington St, Salem, IL 62881, USA"
6795,Marion Police Department,Street Address,"100 South Madison Street  Marion, IL 62959","100 South Madison Street Marion, IL 62959",100 South Madison Street,,Marion,IL,62959,RANGE_INTERPOLATED,37.7307894,-88.926048,"100 S Madison St, Marion, IL 62959, USA"
6796,Marissa Police Department,Street Address,"212 N. Main St.  Marissa, IL 62257","212 N. Main St. Marissa, IL 62257",212 N. Main St.,,Marissa,IL,62257,RANGE_INTERPOLATED,38.2470201,-89.75412399999999,"212 N Main St, Marissa, IL 62257, USA"
6797,Markham Police Department,Street Address,"16313 Kedzie Parkway  Markham, IL 60426","16313 Kedzie Parkway Markham, IL 60426",16313 Kedzie Parkway,,Markham,IL,60426,ROOFTOP,41.59298709999999,-87.6937475,"16313 Kedzie Pkwy, Markham, IL 60428, USA"
6798,Maroa Police Department,Street Address,"120 South LocustP.O. Box 136 Maroa, IL 61756","120 South Locust P.O. Box 136 Maroa, IL 61756",120 South Locust,P.O. Box 136,Maroa,IL,61756,RANGE_INTERPOLATED,40.0362664,-88.95096219999999,"120 S Locust St, Maroa, IL 61756, USA"
6799,Marquette Heights Police Department,Street Address,"715 Lincoln Rd  Marquette Heights, IL 61554","715 Lincoln Rd Marquette Heights, IL 61554",715 Lincoln Rd,,Marquette Heights,IL,61554,ROOFTOP,40.6170364,-89.6024285,"715 Lincoln Rd, Marquette Heights, IL 61554, USA"
6800,Marseilles Police Department,Street Address,"209 Lincoln St  Marseilles, IL 61341","209 Lincoln St Marseilles, IL 61341",209 Lincoln St,,Marseilles,IL,61341,RANGE_INTERPOLATED,41.328331,-88.70849620000001,"209 Lincoln St, Marseilles, IL 61341, USA"
6801,Marshall County Sheriff's Office,Street Address,"520 6Th St  Lacon, IL 61540","520 6Th St Lacon, IL 61540",520 6Th St,,Lacon,IL,61540,RANGE_INTERPOLATED,41.025263,-89.4068357,"520 6th St, Lacon, IL 61540, USA"
6802,Marshall Police Department,Street Address,"201 South Michigan AveP.O. Box 298 Marshall, IL 62441","201 South Michigan Ave P.O. Box 298 Marshall, IL 62441",201 South Michigan Ave,P.O. Box 298,Marshall,IL,62441,ROOFTOP,39.3900174,-87.693668,"201 S Michigan Ave, Marshall, IL 62441, USA"
6803,Martinsville Police Department,Street Address,"19 West Cumberland StreetP. O. Box 340 Martinsville, IL 62442","19 West Cumberland Street P. O. Box 340 Martinsville, IL 62442",19 West Cumberland Street,P. O. Box 340,Martinsville,IL,62442,RANGE_INTERPOLATED,39.3330476,-87.882933,"19 W Cumberland St, Martinsville, IL 62442, USA"
6804,Maryville Police Department,Street Address,"2500 North Center Street  Maryville, IL 62062","2500 North Center Street Maryville, IL 62062",2500 North Center Street,,Maryville,IL,62062,RANGE_INTERPOLATED,38.7275526,-89.95657940000001,"2500 N Center St, Maryville, IL 62062, USA"
6805,Mascoutah Police Department,Street Address,"3 West Main  Mascoutah, IL 62258","3 West Main Mascoutah, IL 62258",3 West Main,,Mascoutah,IL,62258,ROOFTOP,38.49059829999999,-89.7977006,"3 W Main St, Mascoutah, IL 62258, USA"
6806,Mason City Police Department,Street Address,"142 South Main Street  Mason City, IL 62664","142 South Main Street Mason City, IL 62664",142 South Main Street,,Mason City,IL,62664,RANGE_INTERPOLATED,40.2017736,-89.6978176,"142 S Main St, Mason City, IL 62664, USA"
6807,Mason County Sheriff's Office,Street Address,"102 W Market St  Havana, IL 62644","102 W Market St Havana, IL 62644",102 W Market St,,Havana,IL,62644,RANGE_INTERPOLATED,40.3012436,-90.0609109,"102 W Market St, Havana, IL 62644, USA"
6808,Massac County Sheriff's Office,Street Address,"519 Market St  Metropolis, IL 62960","519 Market St Metropolis, IL 62960",519 Market St,,Metropolis,IL,62960,RANGE_INTERPOLATED,37.1524479,-88.73252190000001,"519 Market St, Metropolis, IL 62960, USA"
6809,Matteson Police Department,Street Address,"20500 South Cicero Ave  Matteson Village, IL 60443","20500 South Cicero Ave Matteson Village, IL 60443",20500 South Cicero Ave,,Matteson Village,IL,60443,ROOFTOP,41.5176218,-87.7333416,"20500 S Cicero Ave, Matteson, IL 60443, USA"
