Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Appleton Police Dept,WI,12,73431,213,0,28,22,163,1392,254,1111,27,290.1,0,38.1,30,222,1895.7,345.9,1513,36.8
Ashwaubenon Police Dept,WI,12,17204,41,1,6,2,32,662,55,594,13,238.3,5.8,34.9,11.6,186,3847.9,319.7,3452.7,75.6
Baraboo Police Dept,WI,12,12138,25,0,4,2,19,446,52,388,6,206,0,33,16.5,156.5,3674.4,428.4,3196.6,49.4
Barron County Sheriff Department,WI,12,,2,0,0,1,1,213,100,101,12,,,,,,,,,
Beaver Dam Police Dept,WI,12,16235,8,0,0,3,5,490,83,402,5,49.3,0,0,18.5,30.8,3018.2,511.2,2476.1,30.8
Beloit City Police Dept,WI,12,37008,119,1,8,38,72,1294,299,946,49,321.6,2.7,21.6,102.7,194.6,3496.5,807.9,2556.2,132.4
Brookfield City Police Dept,WI,12,38098,19,3,1,4,11,1108,85,1012,11,49.9,7.9,2.6,10.5,28.9,2908.3,223.1,2656.3,28.9
Brown County Sheriff Department,WI,12,,115,1,11,7,96,765,202,539,24,,,,,,,,,
Brown Deer Police Dept,WI,12,12092,14,0,0,2,12,331,55,265,11,115.8,0,0,16.5,99.2,2737.3,454.8,2191.5,91
Burlington City Police Dept,WI,12,10490,16,0,2,2,12,292,24,266,2,152.5,0,19.1,19.1,114.4,2783.6,228.8,2535.7,19.1
Caledonia Police Dept,WI,12,24764,55,0,2,5,48,348,85,256,7,222.1,0,8.1,20.2,193.8,1405.3,343.2,1033.8,28.3
Calumet County Sheriff Department,WI,12,,15,0,3,2,10,150,38,101,11,,,,,,,,,
Cedarburg Police Dept,WI,12,11465,2,0,0,0,2,127,14,111,2,17.4,0,0,0,17.4,1107.7,122.1,968.2,17.4
Chippewa County Sheriff Department,WI,12,,21,0,9,0,12,381,132,237,12,,,,,,,,,
Chippewa Falls,WI,12,13773,28,0,3,4,21,219,55,154,10,203.3,0,21.8,29,152.5,1590.1,399.3,1118.1,72.6
Clark County Sheriff Office,WI,12,,98,0,0,1,97,195,66,112,17,,,,,,,,,
Columbia County Sheriff Office,WI,12,,33,0,11,0,22,377,137,226,14,,,,,,,,,
Cudahy Police Dept,WI,11,18406,42,2,4,16,20,447,80,350,17,,,,,,,,,
Dane County Sheriff Department,WI,12,,33,3,11,3,16,843,220,592,31,,,,,,,,,
De Pere Police Dept,WI,12,24122,20,3,5,1,11,285,49,231,5,82.9,12.4,20.7,4.1,45.6,1181.5,203.1,957.6,20.7
Dodge County Sheriff Department,WI,12,,27,0,6,2,19,299,80,204,15,,,,,,,,,
Dunn County Sheriff Department,WI,12,,51,0,6,1,44,202,55,133,14,,,,,,,,,
Eau Claire County Sheriff Department,WI,12,,19,0,5,3,11,275,114,159,2,,,,,,,,,
Eau Claire Police Dept,WI,12,66794,110,4,22,13,71,1698,306,1349,43,164.7,6,32.9,19.5,106.3,2542.1,458.1,2019.6,64.4
Elkhorn Police Dept,WI,12,10144,6,0,0,1,5,216,29,184,3,59.1,0,0,9.9,49.3,2129.3,285.9,1813.9,29.6
Everest Metro  Police Dept,WI,12,17123,16,1,1,1,13,352,67,275,10,93.4,5.8,5.8,5.8,75.9,2055.7,391.3,1606,58.4
Fitchburg City Police Dept,WI,12,25731,52,3,5,11,33,491,80,395,16,202.1,11.7,19.4,42.7,128.2,1908.2,310.9,1535.1,62.2
Fond Du Lac County Sheriff Department,WI,12,,22,0,4,1,17,316,101,203,12,,,,,,,,,
Fond Du Lac Police Dept,WI,12,43319,183,0,35,11,137,1210,118,1057,35,422.4,0,80.8,25.4,316.3,2793.2,272.4,2440,80.8
Fort Atkinson City Police Dept,WI,12,12439,16,0,0,0,16,267,34,226,7,128.6,0,0,0,128.6,2146.5,273.3,1816.9,56.3
Franklin Police Dept,WI,12,35711,16,0,4,3,9,766,90,669,7,44.8,0,11.2,8.4,25.2,2145,252,1873.4,19.6
Germantown Village Police Dept,WI,12,19874,11,0,1,4,6,387,29,351,7,55.3,0,5,20.1,30.2,1947.3,145.9,1766.1,35.2
Glendale Police Dept,WI,12,12968,23,0,0,19,4,938,34,867,37,177.4,0,0,146.5,30.8,7233.2,262.2,6685.7,285.3
Grafton Police Dept,WI,12,11510,5,0,0,1,4,164,12,151,1,43.4,0,0,8.7,34.8,1424.8,104.3,1311.9,8.7
Grand Chute Police Dept,WI,12,21102,29,1,0,7,21,843,54,766,23,137.4,4.7,0,33.2,99.5,3994.9,255.9,3630,109
Grant County Sheriff Department,WI,12,,28,0,5,0,23,290,97,173,20,,,,,,,,,
Green Bay Police Dept,WI,12,106080,514,1,44,87,382,2978,659,2210,109,484.5,0.9,41.5,82,360.1,2807.3,621.2,2083.3,102.8
Greendale Police Dept,WI,12,14153,11,0,0,1,10,522,27,489,6,77.7,0,0,7.1,70.7,3688.3,190.8,3455.1,42.4
Greenfield Police Dept,WI,12,36998,53,1,4,24,24,1269,163,1074,32,143.3,2.7,10.8,64.9,64.9,3429.9,440.6,2902.9,86.5
Hartford Police Dept,WI,12,14314,8,0,0,2,6,317,43,269,5,55.9,0,0,14,41.9,2214.6,300.4,1879.3,34.9
Hobart-Lawrence,WI,12,10615,6,0,0,0,6,69,16,49,4,56.5,0,0,0,56.5,650,150.7,461.6,37.7
Hudson Police Dept,WI,12,12848,6,0,2,0,4,500,29,457,14,46.7,0,15.6,0,31.1,3891.7,225.7,3557,109
Janesville Police Dept,WI,12,63642,179,2,21,35,121,2463,339,2059,65,281.3,3.1,33,55,190.1,3870.1,532.7,3235.3,102.1
Jefferson County Sheriff Department,WI,12,,31,0,2,1,28,436,116,306,14,,,,,,,,,
Kaukauna Police Dept,WI,12,15601,17,0,3,2,12,186,14,170,2,109,0,19.2,12.8,76.9,1192.2,89.7,1089.7,12.8
Kenosha County Sheriff Department,WI,12,,39,1,8,8,22,685,142,508,35,,,,,,,,,
Kenosha Police Dept,WI,12,99993,274,1,36,105,132,2999,707,2194,98,274,1,36,105,132,2999.2,707,2194.2,98
La Crosse County Sheriff Department,WI,12,,14,0,1,1,12,228,59,160,9,,,,,,,,,
La Crosse Police Dept,WI,12,51851,154,4,21,38,91,1954,404,1501,49,297,7.7,40.5,73.3,175.5,3768.5,779.2,2894.8,94.5
Madison City Police Dept,WI,12,237508,897,3,114,241,539,7753,1601,5898,254,377.7,1.3,48,101.5,226.9,3264.3,674.1,2483.3,106.9
Manitowac Police Dept,WI,12,33631,62,0,4,12,46,991,128,844,19,184.4,0,11.9,35.7,136.8,2946.7,380.6,2509.6,56.5
Manitowoc County Sheriff Department,WI,12,,24,0,2,1,21,204,60,131,13,,,,,,,,,
Marathon County Sheriff Department,WI,11,,11,0,3,2,6,420,123,280,17,,,,,,,,,
Marinette County Sheriff Department,WI,12,,10,1,6,1,2,549,366,158,25,,,,,,,,,
Marinette Police Dept,WI,12,10971,11,0,2,9,0,443,67,360,16,100.3,0,18.2,82,0,4037.9,610.7,3281.4,145.8
Marshfield Police Dept,WI,12,19178,13,1,1,4,7,558,68,476,14,67.8,5.2,5.2,20.9,36.5,2909.6,354.6,2482,73
Menasha City Police Dept,WI,12,17487,34,0,10,2,22,429,68,354,7,194.4,0,57.2,11.4,125.8,2453.3,388.9,2024.4,40
Menomonee Falls Cty Police Dept,WI,12,35795,14,0,1,6,7,408,51,346,11,39.1,0,2.8,16.8,19.6,1139.8,142.5,966.6,30.7
Menomonie Police Dept,WI,5,16343,3,0,0,0,3,172,25,140,7,,,,,,,,,
Mequon Police Dept,WI,12,23237,16,0,0,3,13,198,66,129,3,68.9,0,0,12.9,55.9,852.1,284,555.1,12.9
Middleton Police Dept,WI,12,17774,17,0,4,8,5,423,86,329,8,95.6,0,22.5,45,28.1,2379.9,483.9,1851,45
Milwaukee Police Dept,WI,12,599395,7759,91,230,3027,4411,30228,6977,18448,4803,1294.5,15.2,38.4,505,735.9,5043.1,1164,3077.8,801.3
Monroe Police Dept,WI,12,10869,12,0,0,0,12,309,30,272,7,110.4,0,0,0,110.4,2842.9,276,2502.5,64.4
Mount Pleasant Police Dept,WI,12,26262,19,1,2,7,9,890,105,770,15,72.3,3.8,7.6,26.7,34.3,3388.9,399.8,2932,57.1
Muskego Police Dept,WI,12,24249,4,0,1,1,2,243,52,181,10,16.5,0,4.1,4.1,8.2,1002.1,214.4,746.4,41.2
Neenah City Police Dept,WI,12,25681,35,0,2,2,31,495,76,404,15,136.3,0,7.8,7.8,120.7,1927.5,295.9,1573.1,58.4
Oak Creek Police Dept,WI,12,34715,57,6,5,13,33,1048,115,917,16,164.2,17.3,14.4,37.4,95.1,3018.9,331.3,2641.5,46.1
Oconomowoc City Police Dept,WI,12,15832,5,0,0,3,2,291,24,265,2,31.6,0,0,18.9,12.6,1838,151.6,1673.8,12.6
Oconto County Sheriff Department,WI,12,,2,0,0,2,0,488,197,269,22,,,,,,,,,
Onalaska Police Dept,WI,12,17945,10,0,1,2,7,504,61,439,4,55.7,0,5.6,11.1,39,2808.6,339.9,2446.4,22.3
Oshkosh City Police Dept,WI,12,66514,191,0,13,18,160,1722,340,1345,37,287.2,0,19.5,27.1,240.6,2588.9,511.2,2022.1,55.6
Outagamie County Sheriff Department,WI,12,,39,0,5,1,33,336,73,251,12,,,,,,,,,
Platteville City Police Dept,WI,12,11255,6,0,4,0,2,340,25,313,2,53.3,0,35.5,0,17.8,3020.9,222.1,2781,17.8
Pleasant Prairie Village Police Dept,WI,12,19873,11,0,0,3,8,505,40,453,12,55.4,0,0,15.1,40.3,2541.1,201.3,2279.5,60.4
Plover Police Dept,WI,9,12166,5,0,2,0,3,149,11,136,2,,,,,,,,,
Polk County Sheriff Department,WI,12,,78,1,10,2,65,349,122,200,27,,,,,,,,,
City Of Port Washington Police Dept,WI,12,11301,10,0,0,2,8,149,17,131,1,88.5,0,0,17.7,70.8,1318.5,150.4,1159.2,8.8
Portage County Sheriff Department,WI,12,,19,0,4,0,15,223,77,139,7,,,,,,,,,
Portage Police Dept,WI,12,10362,21,0,2,3,16,79,26,48,5,202.7,0,19.3,29,154.4,762.4,250.9,463.2,48.3
Racine County Sheriff Department,WI,12,,18,1,3,1,13,509,95,387,27,,,,,,,,,
Racine Police Dept,WI,12,79055,374,4,31,211,128,3181,1101,1950,130,473.1,5.1,39.2,266.9,161.9,4023.8,1392.7,2466.6,164.4
River Falls City Police Dept,WI,12,14927,47,3,4,4,36,389,41,336,12,314.9,20.1,26.8,26.8,241.2,2606,274.7,2251,80.4
Rock,WI,12,,34,0,14,3,17,454,152,281,21,,,,,,,,,
Sauk County Sheriff Department,WI,12,,23,0,7,2,14,533,118,389,26,,,,,,,,,
Shawano County Sheriff Department,WI,12,,22,1,8,0,13,524,201,291,32,,,,,,,,,
Sheboygan County Sheriff Office,WI,12,,13,0,2,1,10,495,101,373,21,,,,,,,,,
Sheboygan Police Dept,WI,12,49261,170,4,19,21,126,1517,262,1212,43,345.1,8.1,38.6,42.6,255.8,3079.5,531.9,2460.4,87.3
Shorewood Police Dept,WI,12,13262,22,0,0,14,8,376,24,340,12,165.9,0,0,105.6,60.3,2835.2,181,2563.7,90.5
South Milwaukee Police Dept,WI,12,21316,37,0,4,12,21,431,76,344,11,173.6,0,18.8,56.3,98.5,2022,356.5,1613.8,51.6
St. Croix City Sheriff Department,WI,12,,30,2,3,1,24,400,101,270,29,,,,,,,,,
Stevens Point Police Dept,WI,12,26809,48,0,8,3,37,717,131,571,15,179,0,29.8,11.2,138,2674.5,488.6,2129.9,56
Stoughton City Police Dept,WI,12,12850,14,1,0,4,9,291,23,262,6,108.9,7.8,0,31.1,70,2264.6,179,2038.9,46.7
Sun Prairie Police Dept,WI,12,29925,41,0,2,8,31,737,72,656,9,137,0,6.7,26.7,103.6,2462.8,240.6,2192.1,30.1
Superior Police Dept,WI,12,27281,83,1,9,22,51,1309,221,1016,72,304.2,3.7,33,80.6,186.9,4798.2,810.1,3724.2,263.9
Menasha Town Police Dept,WI,12,18628,28,0,2,2,24,264,52,202,10,150.3,0,10.7,10.7,128.8,1417.2,279.1,1084.4,53.7
Two Rivers Police Dept,WI,12,11674,15,0,2,0,13,271,56,203,12,128.5,0,17.1,0,111.4,2321.4,479.7,1738.9,102.8
Verona Police Dept,WI,12,10824,5,0,0,1,4,271,19,250,2,46.2,0,0,9.2,37,2503.7,175.5,2309.7,18.5
Walworth County Sheriff Department,WI,12,,40,1,1,2,36,268,67,184,17,,,,,,,,,
Washington County Sheriff Department,WI,12,,62,1,5,1,55,611,167,432,12,,,,,,,,,
Watertown Police Dept,WI,12,23956,54,0,5,3,46,475,86,382,7,225.4,0,20.9,12.5,192,1982.8,359,1594.6,29.2
Waukesha County Sheriff Office,WI,12,,41,0,1,5,35,637,166,443,28,,,,,,,,,
Waukesha Police Dept,WI,12,71049,107,1,26,24,56,1304,233,1039,32,150.6,1.4,36.6,33.8,78.8,1835.4,327.9,1462.4,45
Waunakee Police Dept,WI,12,12326,3,0,0,0,3,114,18,94,2,24.3,0,0,0,24.3,924.9,146,762.6,16.2
Waupaca County Sheriff Department,WI,12,,16,0,2,2,12,526,161,344,21,,,,,,,,,
Waupun Police Dept,WI,12,11379,9,0,3,0,6,163,24,137,2,79.1,0,26.4,0,52.7,1432.5,210.9,1204,17.6
Wausau Police Dept,WI,12,39313,120,1,21,21,77,1079,241,806,32,305.2,2.5,53.4,53.4,195.9,2744.6,613,2050.2,81.4
Wauwatosa Police Dept,WI,12,46748,78,1,0,56,21,1926,266,1623,37,166.9,2.1,0,119.8,44.9,4120,569,3471.8,79.1
West Allis Police Dept,WI,12,60870,191,0,11,97,83,2918,552,2234,132,313.8,0,18.1,159.4,136.4,4793.8,906.9,3670.1,216.9
West Bend City Police Dept,WI,12,31275,29,1,3,9,16,794,55,726,13,92.7,3.2,9.6,28.8,51.2,2538.8,175.9,2321.3,41.6
Whitefish Bay Police Dept,WI,12,14218,11,0,1,5,5,191,14,170,7,77.4,0,7,35.2,35.2,1343.4,98.5,1195.7,49.2
Whitewater City Police Dept,WI,12,14807,17,0,5,1,11,265,44,219,2,114.8,0,33.8,6.8,74.3,1789.7,297.2,1479,13.5
Winnebago County Sheriff Department,WI,12,,25,0,0,0,25,318,112,187,19,,,,,,,,,
Wisconsin Rapids Police Dept,WI,12,18424,15,0,6,6,3,845,136,697,12,81.4,0,32.6,32.6,16.3,4586.4,738.2,3783.1,65.1
Wood County Sheriff Department,WI,12,,2,0,0,0,2,225,57,150,18,,,,,,,,,
Barrington Police Dept,RI,12,16268,6,0,2,3,1,179,30,146,3,36.9,0,12.3,18.4,6.1,1100.3,184.4,897.5,18.4
Bristol Police Dept,RI,12,22900,15,0,2,1,12,259,45,211,3,65.5,0,8.7,4.4,52.4,1131,196.5,921.4,13.1
Burrillville Police Dept,RI,12,15941,8,0,2,2,4,231,71,146,14,50.2,0,12.5,12.5,25.1,1449.1,445.4,915.9,87.8
Central Falls Police Dept,RI,12,19360,142,1,14,47,80,590,133,337,120,733.5,5.2,72.3,242.8,413.2,3047.5,687,1740.7,619.8
Coventry Police Dept,RI,12,34850,25,1,5,1,18,677,150,490,37,71.7,2.9,14.3,2.9,51.6,1942.6,430.4,1406,106.2
Cranston Police Dept,RI,12,80315,130,2,16,34,78,1908,392,1362,154,161.9,2.5,19.9,42.3,97.1,2375.6,488.1,1695.8,191.7
Cumberland Police Dept,RI,12,33475,18,0,3,5,10,541,112,404,25,53.8,0,9,14.9,29.9,1616.1,334.6,1206.9,74.7
East Greenwich Police Dept,RI,12,13085,1,0,0,1,0,162,30,128,4,7.6,0,0,7.6,0,1238.1,229.3,978.2,30.6
East Providence Police Dept,RI,12,46994,71,2,13,14,42,834,144,631,59,151.1,4.3,27.7,29.8,89.4,1774.7,306.4,1342.7,125.5
Johnston Police Dept,RI,12,28743,38,1,3,7,27,531,109,363,59,132.2,3.5,10.4,24.4,93.9,1847.4,379.2,1262.9,205.3
Lincoln Police Dept,RI,12,21088,18,0,4,5,9,506,98,376,32,85.4,0,19,23.7,42.7,2399.5,464.7,1783,151.7
Middletown Police Dept,RI,12,16096,6,0,0,3,3,271,34,230,7,37.3,0,0,18.6,18.6,1683.6,211.2,1428.9,43.5
Narragansett Police Dept,RI,12,15799,6,0,0,0,6,280,50,219,11,38,0,0,0,38,1772.3,316.5,1386.2,69.6
Newport Police Dept,RI,12,24595,104,1,11,15,77,987,223,742,22,422.9,4.1,44.7,61,313.1,4013,906.7,3016.9,89.4
North Kingstown Police Dept,RI,12,26371,9,0,3,1,5,434,90,330,14,34.1,0,11.4,3.8,19,1645.7,341.3,1251.4,53.1
North Providence Police Dept,RI,12,32048,53,0,8,10,35,534,148,315,71,165.4,0,25,31.2,109.2,1666.3,461.8,982.9,221.5
North Smithfield Police Dept,RI,12,11957,10,0,2,3,5,326,32,274,20,83.6,0,16.7,25.1,41.8,2726.4,267.6,2291.5,167.3
Pawtucket Police Dept,RI,12,71085,288,4,35,81,168,2449,679,1393,377,405.1,5.6,49.2,113.9,236.3,3445.2,955.2,1959.6,530.4
Portsmouth Police Dept,RI,12,17331,5,0,0,0,5,251,53,188,10,28.9,0,0,0,28.9,1448.3,305.8,1084.8,57.7
Providence Police Dept,RI,12,177882,1133,17,84,362,670,7977,1929,4884,1164,636.9,9.6,47.2,203.5,376.7,4484.4,1084.4,2745.6,654.4
North Scituate Police Dept,RI,12,10320,4,0,0,0,4,87,27,53,7,38.8,0,0,0,38.8,843,261.6,513.6,67.8
Smithfield Police Dept,RI,12,21411,13,0,1,0,12,293,37,237,19,60.7,0,4.7,0,56,1368.5,172.8,1106.9,88.7
South Kingstown Police Dept,RI,12,30524,26,0,4,6,16,273,67,197,9,85.2,0,13.1,19.7,52.4,894.4,219.5,645.4,29.5
Tiverton Police Dept,RI,12,15728,22,0,2,2,18,402,122,258,22,139.9,0,12.7,12.7,114.4,2556,775.7,1640.4,139.9
Warren Police Dept,RI,12,10584,19,0,2,7,10,281,71,202,8,179.5,0,18.9,66.1,94.5,2655,670.8,1908.5,75.6
Warwick Police Dept,RI,12,82282,102,1,15,29,57,2117,334,1688,95,124,1.2,18.2,35.2,69.3,2572.9,405.9,2051.5,115.5
West Warwick Police Dept,RI,12,29053,67,1,12,6,48,584,158,386,40,230.6,3.4,41.3,20.7,165.2,2010.1,543.8,1328.6,137.7
Westerly Police Dept,RI,12,22686,17,1,3,5,8,424,57,358,9,74.9,4.4,13.2,22,35.3,1869,251.3,1578.1,39.7
Woonsocket Police Dept,RI,12,41147,220,0,23,59,138,1259,346,840,73,534.7,0,55.9,143.4,335.4,3059.8,840.9,2041.5,177.4
Abington Twp (Montgomery Co) Police Dept,PA,12,55731,110,1,8,39,62,1103,165,920,18,197.4,1.8,14.4,70,111.2,1979.1,296.1,1650.8,32.3
Adams Twp (Butler Co) Police Dept,PA,12,11735,7,0,0,1,6,45,13,31,1,59.7,0,0,8.5,51.1,383.5,110.8,264.2,8.5
Allentown City Police Dept,PA,12,119334,653,15,54,374,210,4603,1248,2987,368,547.2,12.6,45.3,313.4,176,3857.2,1045.8,2503.1,308.4
Altoona City Police Dept,PA,12,46404,163,2,31,32,98,903,226,641,36,351.3,4.3,66.8,69,211.2,1946,487,1381.3,77.6
Amity Twp (Berks Co) Police Dept,PA,12,12625,3,0,2,1,0,122,27,88,7,23.8,0,15.8,7.9,0,966.3,213.9,697,55.4
Aston Twp Police Dept,PA,12,16629,24,0,4,2,18,258,38,212,8,144.3,0,24.1,12,108.2,1551.5,228.5,1274.9,48.1
Baldwin Boro Police Dept,PA,12,19841,22,1,1,8,12,160,36,104,20,110.9,5,5,40.3,60.5,806.4,181.4,524.2,100.8
Bensalem Twp Police Dept,PA,12,60665,80,1,7,39,33,2205,336,1780,89,131.9,1.6,11.5,64.3,54.4,3634.7,553.9,2934.1,146.7
Northeastern Berks Regional Police Dept,PA,12,31206,13,1,1,3,8,356,66,274,16,41.7,3.2,3.2,9.6,25.6,1140.8,211.5,878,51.3
Berwick Boro Police Dept,PA,12,10480,25,0,9,6,10,490,148,335,7,238.5,0,85.9,57.3,95.4,4675.6,1412.2,3196.6,66.8
Bethel Park Police Dept,PA,12,32433,31,0,0,7,24,329,45,276,8,95.6,0,0,21.6,74,1014.4,138.7,851,24.7
Bethlehem City (Northampton Co) Police Dept,PA,12,75388,238,2,19,121,96,1948,377,1488,83,315.7,2.7,25.2,160.5,127.3,2584,500.1,1973.8,110.1
Bethleham Twp (Northampton Co) Police Dept,PA,12,23817,20,0,2,6,12,334,56,271,7,84,0,8.4,25.2,50.4,1402.4,235.1,1137.8,29.4
Bloomsburg Town Police Dept,PA,12,15135,20,0,1,2,17,266,51,211,4,132.1,0,6.6,13.2,112.3,1757.5,337,1394.1,26.4
Bristol Twp Police Dept,PA,12,54796,112,0,9,73,30,1724,363,1256,105,204.4,0,16.4,133.2,54.7,3146.2,662.5,2292.1,191.6
Buckingham Twp (Bucks Co) Police Dept,PA,12,20154,1,0,0,1,0,141,31,106,4,5,0,0,5,0,699.6,153.8,526,19.8
Buffalo Valley Regi,PA,12,12233,7,0,0,1,6,112,31,81,0,57.2,0,0,8.2,49,915.6,253.4,662.1,0
Butler City Police Dept,PA,12,13853,87,2,0,30,55,612,101,497,14,628,14.4,0,216.6,397,4417.8,729.1,3587.7,101.1
Butler Twp (Butler Co) Police Dept,PA,12,17369,30,0,3,4,23,362,30,331,1,172.7,0,17.3,23,132.4,2084.2,172.7,1905.7,5.8
Caln Twp Police Dept,PA,12,13957,60,1,5,6,48,370,43,321,6,429.9,7.2,35.8,43,343.9,2651,308.1,2299.9,43
Carlisle Boro Police Dept,PA,12,19103,48,0,15,19,14,610,60,547,3,251.3,0,78.5,99.5,73.3,3193.2,314.1,2863.4,15.7
Cecil Twp Police Dept,PA,12,11315,4,0,0,0,4,18,5,13,0,35.4,0,0,0,35.4,159.1,44.2,114.9,0
Center Twp (Beaver Co) Police Dept,PA,11,11794,20,0,1,8,11,404,19,383,2,,,,,,,,,
Chambersburg Boro Police Dept,PA,12,20458,82,2,8,31,41,804,120,661,23,400.8,9.8,39.1,151.5,200.4,3930,586.6,3231,112.4
Cheltenham Twp Police Dept,PA,12,37067,90,0,4,53,33,959,168,761,30,242.8,0,10.8,143,89,2587.2,453.2,2053,80.9
Chester City Police Dept,PA,12,34239,720,22,17,217,464,1203,465,636,102,2102.9,64.3,49.7,633.8,1355.2,3513.5,1358.1,1857.5,297.9
Coal Twp Police Dept,PA,12,10404,12,0,1,0,11,250,36,208,6,115.3,0,9.6,0,105.7,2402.9,346,1999.2,57.7
Coatesville City Police Dept,PA,12,13237,126,6,9,57,54,429,121,271,37,951.9,45.3,68,430.6,407.9,3240.9,914.1,2047.3,279.5
Colonial Regional Police Dept,PA,12,19503,10,0,1,6,3,581,50,522,9,51.3,0,5.1,30.8,15.4,2979,256.4,2676.5,46.1
Columbia Boro Police Dept,PA,12,10501,21,1,4,6,10,296,79,208,9,200,9.5,38.1,57.1,95.2,2818.8,752.3,1980.8,85.7
Cranberry Twp (Butler Co) Police Dept,PA,12,28297,8,0,0,2,6,383,27,351,5,28.3,0,0,7.1,21.2,1353.5,95.4,1240.4,17.7
Cumru Twp Police Dept,PA,12,15199,20,1,4,8,7,306,54,238,14,131.6,6.6,26.3,52.6,46.1,2013.3,355.3,1565.9,92.1
Darby Boro Police Dept,PA,12,10711,484,0,11,78,395,498,169,282,47,4518.7,0,102.7,728.2,3687.8,4649.4,1577.8,2632.8,438.8
Derry Twp (Dauphin Co) Police Dept,PA,12,24786,44,0,1,5,38,520,72,433,15,177.5,0,4,20.2,153.3,2098,290.5,1747,60.5
Douglass Twp (Montgomery Co) Police Dept,PA,12,10274,14,0,4,1,9,135,19,112,4,136.3,0,38.9,9.7,87.6,1314,184.9,1090.1,38.9
Doylestown Twp Police Dept,PA,12,17630,28,1,4,1,22,252,33,210,9,158.8,5.7,22.7,5.7,124.8,1429.4,187.2,1191.2,51
Dunmore Boro Police Dept,PA,6,14063,11,0,0,0,11,50,7,40,3,,,,,,,,,
East Cocalico Twp Police Dept,PA,12,10411,6,0,1,0,5,117,22,84,11,57.6,0,9.6,0,48,1123.8,211.3,806.8,105.7
East Hempfield Twp Police Dept,PA,12,23755,15,0,3,10,2,539,87,428,24,63.1,0,12.6,42.1,8.4,2269,366.2,1801.7,101
East Lampeter Twp Police Dept,PA,12,16588,23,1,0,14,8,704,68,627,9,138.7,6,0,84.4,48.2,4244,409.9,3779.8,54.3
East Norriton Twp Police Dept,PA,12,13693,8,0,1,3,4,325,20,293,12,58.4,0,7.3,21.9,29.2,2373.5,146.1,2139.8,87.6
East Pennsboro Twp Police Dept,PA,12,20796,13,0,6,4,3,292,55,235,2,62.5,0,28.9,19.2,14.4,1404.1,264.5,1130,9.6
East Whiteland Twp Police Dept,PA,12,10756,5,0,0,0,5,143,8,128,7,46.5,0,0,0,46.5,1329.5,74.4,1190,65.1
Eastern Adams Region,PA,12,10721,5,0,0,2,3,69,14,52,3,46.6,0,0,18.7,28,643.6,130.6,485,28
Easton City (Northampton Co) Police Dept,PA,12,27039,112,6,6,48,52,709,136,526,47,414.2,22.2,22.2,177.5,192.3,2622.1,503,1945.3,173.8
Easttown Twp (Chester Co) Police Dept,PA,12,10587,8,0,1,2,5,122,23,99,0,75.6,0,9.4,18.9,47.2,1152.4,217.2,935.1,0
Elizabeth Twp (Allegheny Co) Police Dept,PA,12,13322,14,0,3,3,8,112,31,80,1,105.1,0,22.5,22.5,60.1,840.7,232.7,600.5,7.5
Elizabethtown Boro (Lancaster Co) Police Dept,PA,12,11647,14,0,5,7,2,180,21,157,2,120.2,0,42.9,60.1,17.2,1545.5,180.3,1348,17.2
Emmaus Boro Police Dept,PA,12,11339,11,0,0,7,4,253,23,220,10,97,0,0,61.7,35.3,2231.2,202.8,1940.2,88.2
Ephrata Boro Police Dept,PA,12,13527,28,0,3,10,15,286,37,243,6,207,0,22.2,73.9,110.9,2114.3,273.5,1796.4,44.4
Erie Police Dept,PA,12,101972,458,8,64,172,214,3510,1095,2311,104,449.1,7.8,62.8,168.7,209.9,3442.1,1073.8,2266.3,102
Exeter Twp (Berks Co) Police Dept,PA,12,25637,19,0,3,5,11,410,42,357,11,74.1,0,11.7,19.5,42.9,1599.3,163.8,1392.5,42.9
Fairview Twp (York Twp) Police Dept,PA,12,16761,22,0,3,4,15,257,40,217,0,131.3,0,17.9,23.9,89.5,1533.3,238.6,1294.7,0
Falls Twp (Bucks Co) Police Dept,PA,12,34434,36,0,6,17,13,912,180,692,40,104.5,0,17.4,49.4,37.8,2648.5,522.7,2009.6,116.2
Ferguson Twp (Centre Co) Police Dept,PA,12,17763,10,0,4,2,4,131,23,103,5,56.3,0,22.5,11.3,22.5,737.5,129.5,579.9,28.1
Forks Twp (Northampton Co) Police Dept,PA,12,14775,11,0,4,3,4,109,7,102,0,74.5,0,27.1,20.3,27.1,737.7,47.4,690.4,0
Franconia Twp Police Dept,PA,12,13162,11,0,0,0,11,111,8,98,5,83.6,0,0,0,83.6,843.3,60.8,744.6,38
Franklin Park Boro (Allegheny Co) Police Dept,PA,12,13521,6,0,1,0,5,52,12,39,1,44.4,0,7.4,0,37,384.6,88.8,288.4,7.4
City Of Greensburg Police Dept,PA,12,14889,26,0,1,8,17,357,41,309,7,174.6,0,6.7,53.7,114.2,2397.7,275.4,2075.4,47
Hampden Twp (Cumberland Co) Police Dept,PA,12,27898,7,0,0,6,1,306,29,271,6,25.1,0,0,21.5,3.6,1096.9,104,971.4,21.5
