Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Hidalgo Police Dept,TX,12,11706,12,0,0,3,9,194,38,139,17,102.5,0,0,25.6,76.9,1657.3,324.6,1187.4,145.2
Highland Village Police Dept,TX,12,15836,6,0,0,3,3,178,7,169,2,37.9,0,0,18.9,18.9,1124,44.2,1067.2,12.6
Hood County Sheriff Office,TX,12,,49,1,0,2,46,507,120,343,44,,,,,,,,,
Horizon City Police Dept,TX,12,17418,28,0,0,3,25,198,53,132,13,160.8,0,0,17.2,143.5,1136.8,304.3,757.8,74.6
Houston Police Dept,TX,12,2177273,21610,217,665,9385,11343,107678,26630,67978,13070,992.5,10,30.5,431,521,4945.5,1223.1,3122.2,600.3
Humble Police Dept,TX,12,15684,106,1,25,51,29,1630,225,1301,104,675.8,6.4,159.4,325.2,184.9,10392.8,1434.6,8295.1,663.1
Hunt County Sheriff Department,TX,12,,176,0,2,14,160,1217,485,651,81,,,,,,,,,
Huntsville Police Dept,TX,12,39243,202,1,28,13,160,1038,263,740,35,514.7,2.5,71.4,33.1,407.7,2645.1,670.2,1885.7,89.2
Hurst Police Dept,TX,12,38756,217,0,12,33,172,1899,266,1581,52,559.9,0,31,85.1,443.8,4899.9,686.3,4079.4,134.2
Hutto Police Dept,TX,12,15635,21,0,4,1,16,196,47,145,4,134.3,0,25.6,6.4,102.3,1253.6,300.6,927.4,25.6
Irving Police Dept,TX,12,224007,507,3,27,135,342,6307,1277,4466,564,226.3,1.3,12.1,60.3,152.7,2815.5,570.1,1993.7,251.8
Jacinto City Police Dept,TX,12,10941,29,0,1,15,13,436,126,255,55,265.1,0,9.1,137.1,118.8,3985,1151.6,2330.7,502.7
Jacksonville Police Dept,TX,12,14856,159,1,19,22,117,707,200,480,27,1070.3,6.7,127.9,148.1,787.6,4759,1346.3,3231,181.7
Jasper County Sheriff Office,TX,12,,70,2,22,3,43,365,147,204,14,,,,,,,,,
Jefferson County Sheriff Office,TX,12,,38,0,6,11,21,519,141,330,48,,,,,,,,,
Johnson County Sheriff Office,TX,12,,144,3,25,3,113,1078,354,637,87,,,,,,,,,
Katy Police Dept,TX,12,14642,30,0,1,8,21,663,67,562,34,204.9,0,6.8,54.6,143.4,4528.1,457.6,3838.3,232.2
Kaufman County Sheriff Department,TX,12,,143,1,19,11,112,1114,443,557,114,,,,,,,,,
Keller Police Dept,TX,12,41137,15,0,2,4,9,388,72,303,13,36.5,0,4.9,9.7,21.9,943.2,175,736.6,31.6
Kerr County Sheriff Department,TX,12,,31,1,8,4,18,362,125,221,16,,,,,,,,,
Kerrville Police Dept,TX,12,22759,39,1,2,3,33,596,81,496,19,171.4,4.4,8.8,13.2,145,2618.7,355.9,2179.4,83.5
Kilgore Police Dept,TX,12,13306,63,0,6,9,48,692,102,547,43,473.5,0,45.1,67.6,360.7,5200.7,766.6,4110.9,323.2
Killeen Police Dept,TX,12,131965,851,12,82,236,521,4986,1498,3296,192,644.9,9.1,62.1,178.8,394.8,3778.3,1135.1,2497.6,145.5
Kingsville Police Dept,TX,12,26716,142,0,5,17,120,1018,312,690,16,531.5,0,18.7,63.6,449.2,3810.5,1167.8,2582.7,59.9
Kyle Police Dept,TX,12,29732,107,1,15,6,85,484,103,352,29,359.9,3.4,50.5,20.2,285.9,1627.9,346.4,1183.9,97.5
La Marque Police Dept,TX,12,14953,75,1,11,23,40,721,188,491,42,501.6,6.7,73.6,153.8,267.5,4821.8,1257.3,3283.6,280.9
La Porte Police Dept,TX,12,35054,61,1,25,8,27,604,127,439,38,174,2.9,71.3,22.8,77,1723.1,362.3,1252.4,108.4
Lake Jackson Police Dept,TX,12,27862,24,0,4,9,11,575,88,474,13,86.1,0,14.4,32.3,39.5,2063.7,315.8,1701.2,46.7
Lakeway Police Dept,TX,12,12007,23,0,0,0,23,181,24,151,6,191.6,0,0,0,191.6,1507.5,199.9,1257.6,50
