Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Aberdeen Police Dept,WA,12,      17000,          59,           1,          13,          18,          27,         907,         221,         605,          81,         347.1,           5.9,          76.5,         105.9,         158.8,       5335.3,       1300.0,       3558.8,         476.5
Anacortes Police Dept,WA,12,      16097,          16,           0,           1,           2,          13,         577,         157,         386,          34,          99.4,            .0,           6.2,          12.4,          80.8,       3584.5,         975.3,       2398.0,         211.2
Arlington Police Dept,WA,12,      18332,          32,           2,           3,           9,          18,         900,         173,         653,          74,         174.6,          10.9,          16.4,          49.1,          98.2,       4909.4,         943.7,       3562.1,         403.7
Auburn Police Dept,WA,12,      72218,         248,           6,          23,         110,         109,       3985,         984,       2415,         586,         343.4,           8.3,          31.8,         152.3,         150.9,       5518.0,       1362.5,       3344.0,         811.4
Bainbridge Island Police Dept,WA,12,      23490,          12,           0,           4,           0,           8,         288,          54,         225,           9,          51.1,            .0,          17.0,            .0,          34.1,       1226.1,         229.9,         957.9,          38.3
Battle Ground Police Dept,WA,12,      18068,          28,           0,           5,           4,          19,         361,          53,         277,          31,         155.0,            .0,          27.7,          22.1,         105.2,       1998.0,         293.3,       1533.1,         171.6
Bellevue Police Dept,WA,12,     126022,         161,           2,          26,          67,          66,       3503,         685,       2649,         169,         127.8,           1.6,          20.6,          53.2,          52.4,       2779.7,         543.6,       2102.0,         134.1
Bellingham Police Dept,WA,12,      82665,         220,           0,          29,          53,         138,       3975,         614,       3223,         138,         266.1,            .0,          35.1,          64.1,         166.9,       4808.6,         742.8,       3898.9,         166.9
Benton County Sheriff Office,WA,12,,          67,           0,           8,           5,          54,         527,         159,         332,          36,,,,,,,,,
Bonney Lake Police Dept,WA,12,      17751,          19,           0,           1,           6,          12,         529,         122,         370,          37,         107.0,            .0,           5.6,          33.8,          67.6,       2980.1,         687.3,       2084.4,         208.4
Bothell Police Dept,WA,12,      34389,          35,           1,           7,           8,          19,         893,         179,         654,          60,         101.8,           2.9,          20.4,          23.3,          55.3,       2596.8,         520.5,       1901.8,         174.5
Bremerton Police Dept,WA,12,      39434,         230,           1,          38,          44,         147,       2123,         444,       1487,         192,         583.3,           2.5,          96.4,         111.6,         372.8,       5383.7,       1125.9,       3770.9,         486.9
Burien,WA,12,      34310,         267,           2,          44,          95,         126,       2560,         584,       1388,         588,         778.2,           5.8,         128.2,         276.9,         367.2,       7461.4,       1702.1,       4045.5,       1713.8
Camas Police Dept,WA,12,      19905,          12,           0,           2,           1,           9,         401,          90,         293,          18,          60.3,            .0,          10.0,           5.0,          45.2,       2014.6,         452.1,       1472.0,          90.4
Centralia Police Dept,WA,12,      16593,          80,           2,          12,          18,          48,         796,         183,         559,          54,         482.1,          12.1,          72.3,         108.5,         289.3,       4797.2,       1102.9,       3368.9,         325.4
Chelan County Sheriff Office,WA,12,,          37,           1,           6,           6,          24,         620,         194,         397,          29,,,,,,,,,
Cheney Police Dept,WA,12,      10747,          28,           0,           4,           7,          17,         340,          80,         242,          18,         260.5,            .0,          37.2,          65.1,         158.2,       3163.7,         744.4,       2251.8,         167.5
Clallam County Sheriff Office,WA,12,,          72,           4,           9,          11,          48,         880,         302,         543,          35,,,,,,,,,
Clark County Sheriff Department,WA,12,,         283,           2,          46,          51,         184,       3987,       1155,       2297,         535,,,,,,,,,
Covington,WA,12,      18105,          45,           1,          11,           8,          25,         644,         134,         469,          41,         248.6,           5.5,          60.8,          44.2,         138.1,       3557.0,         740.1,       2590.4,         226.5
Cowlitz County Sheriff Office,WA,12,,          84,           3,          35,           1,          45,         537,         186,         309,          42,,,,,,,,,
Des Moines Police Dept,WA,12,      30555,          93,           0,           2,          34,          57,       1206,         244,         740,         222,         304.4,            .0,           6.5,         111.3,         186.5,       3947.0,         798.6,       2421.9,         726.6
Douglas County Sheriff Department,WA,12,,          20,           0,           4,           3,          13,         464,         184,         257,          23,,,,,,,,,
East Wenatchee Police Dept,WA,12,      13506,          18,           1,           7,           4,           6,         372,          74,         289,           9,         133.3,           7.4,          51.8,          29.6,          44.4,       2754.3,         547.9,       2139.8,          66.6
Edmonds Police Dept,WA,12,      40609,          57,           1,           4,          20,          32,       1004,         260,         694,          50,         140.4,           2.5,           9.9,          49.3,          78.8,       2472.4,         640.3,       1709.0,         123.1
Ellensburg Police Dept,WA,12,      18649,          30,           0,           9,           4,          17,         810,         121,         647,          42,         160.9,            .0,          48.3,          21.4,          91.2,       4343.4,         648.8,       3469.4,         225.2
Enumclaw Police Dept,WA,12,      11195,           5,           0,           3,           0,           2,         307,          48,         224,          35,          44.7,            .0,          26.8,            .0,          17.9,       2742.3,         428.8,       2000.9,         312.6
