Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Acworth Police Dept,GA,12,      20932,          11,           0,           0,           4,           7,         416,          43,         347,          26,          52.6,            .0,            .0,          19.1,          33.4,       1987.4,         205.4,       1657.7,         124.2
Albany Police Dept,GA,12,      78512,         813,           4,          27,         224,         558,       5001,       1408,       3369,         224,       1035.5,           5.1,          34.4,         285.3,         710.7,       6369.7,       1793.4,       4291.1,         285.3
Alpharetta Police Dept,GA,12,      60031,          42,           1,           6,          18,          17,       1230,         127,       1076,          27,          70.0,           1.7,          10.0,          30.0,          28.3,       2048.9,         211.6,       1792.4,          45.0
Americus Police Dept,GA,12,      16988,         219,           0,           0,          38,         181,       1220,         630,         562,          28,       1289.1,            .0,            .0,         223.7,       1065.5,       7181.5,       3708.5,       3308.2,         164.8
Athens-Clarke County Police Department,GA,12,     117457,         455,           5,          48,         158,         244,       4601,       1149,       3210,         242,         387.4,           4.3,          40.9,         134.5,         207.7,       3917.2,         978.2,       2732.9,         206.0
Atlanta Police Dept,GA,12,     437041,       6027,          83,         113,       2276,       3555,      28554,       6192,      17212,       5150,       1379.0,          19.0,          25.9,         520.8,         813.4,       6533.5,       1416.8,       3938.3,       1178.4
Richmond,GA,12,,         879,          28,          85,         542,         224,      11592,       3146,       7276,       1170,,,,,,,,,
Bainbridge Police Dept,GA,12,      12764,          89,           2,           2,           9,          76,         681,         151,         520,          10,         697.3,          15.7,          15.7,          70.5,         595.4,       5335.3,       1183.0,       4074.0,          78.3
Baldwin County Sheriff Department,GA,12,,         177,           2,          11,           5,         159,         628,         151,         451,          26,,,,,,,,,
Barrow County Sheriff Department,GA,12,,         269,           0,           9,           9,         251,         866,         231,         572,          63,,,,,,,,,
Bartow County Sheriff Department,GA,12,,         329,           0,          13,          24,         292,       2726,         821,       1703,         202,,,,,,,,,
Bibb County Sheriff Department,GA,12,,         207,           3,          13,          40,         151,       2370,         542,       1649,         179,,,,,,,,,
