Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Albany City Police Dept,OR,12,      51084,          44,           0,          10,          23,          11,       1580,         224,       1262,          94,          86.1,            .0,          19.6,          45.0,          21.5,       3092.9,         438.5,       2470.4,         184.0
Ashland Police Dept,OR,12,      20376,          35,           0,          10,           5,          20,         619,          62,         543,          14,         171.8,            .0,          49.1,          24.5,          98.2,       3037.9,         304.3,       2664.9,          68.7
Beaverton Police Dept,OR,12,      92276,         141,           0,          21,          36,          84,       1471,         196,       1165,         110,         152.8,            .0,          22.8,          39.0,          91.0,       1594.1,         212.4,       1262.5,         119.2
Bend City Police Dept,OR,6,      78458,          57,           0,           7,           4,          46,         611,          94,         498,          19,,,,,,,,,
Canby Police Dept,OR,12,      16121,          17,           0,           6,           3,           8,         284,          51,         222,          11,         105.5,            .0,          37.2,          18.6,          49.6,       1761.7,         316.4,       1377.1,          68.2
Central Point City Police Dept,OR,12,      17431,          26,           0,           4,           1,          21,         609,          61,         523,          25,         149.2,            .0,          22.9,           5.7,         120.5,       3493.8,         350.0,       3000.4,         143.4
Clackamas County Sheriff Department,OR,12,,         218,           8,          55,          85,          70,       5610,       1000,       4108,         502,,,,,,,,,
Coos County Sheriff Office,OR,12,,          28,           0,           1,           1,          26,         473,         123,         321,          29,,,,,,,,,
Coos Bay Police Dept,OR,5,      16016,          32,           0,           1,           3,          28,         352,          61,         275,          16,,,,,,,,,
Cornelius Police Dept,OR,12,      12193,          28,           0,           3,           8,          17,         357,          68,         267,          22,         229.6,            .0,          24.6,          65.6,         139.4,       2927.9,         557.7,       2189.8,         180.4
Corvallis Police Dept,OR,12,      55062,          67,           1,          11,          15,          40,       1418,         235,       1153,          30,         121.7,           1.8,          20.0,          27.2,          72.6,       2575.3,         426.8,       2094.0,          54.5
Dallas Police Dept,OR,12,      14802,          29,           0,           4,           1,          24,         375,          56,         308,          11,         195.9,            .0,          27.0,           6.8,         162.1,       2533.4,         378.3,       2080.8,          74.3
Deschutes County Sheriff Office,OR,12,,         118,           0,           9,           5,         104,         897,         252,         601,          44,,,,,,,,,
Douglas County Sheriff Office,OR,12,,          51,           0,          14,           7,          30,       1360,         389,         893,          78,,,,,,,,,
Eugene Police Dept,OR,12,     158043,         430,           0,          72,         196,         162,       8004,       1515,       6054,         435,         272.1,            .0,          45.6,         124.0,         102.5,       5064.4,         958.6,       3830.6,         275.2
Forest Grove Police Dept,OR,12,      21641,          83,           0,          10,           8,          65,         711,         104,         561,          46,         383.5,            .0,          46.2,          37.0,         300.4,       3285.4,         480.6,       2592.3,         212.6
Gladstone Police Dept,OR,12,      11709,          28,           0,           3,           5,          20,         364,          40,         292,          32,         239.1,            .0,          25.6,          42.7,         170.8,       3108.7,         341.6,       2493.8,         273.3
Grants Pass Dept Of Public Safety,OR,12,      34892,          75,           1,           7,          24,          43,       1768,         317,       1355,          96,         214.9,           2.9,          20.1,          68.8,         123.2,       5067.1,         908.5,       3883.4,         275.1
Gresham Police Dept,OR,12,     108202,         487,           4,          33,         207,         243,       4858,         886,       3230,         742,         450.1,           3.7,          30.5,         191.3,         224.6,       4489.8,         818.8,       2985.2,         685.8
Hermiston City Police Dept,OR,12,      17059,          24,           0,           4,           9,          11,         551,         118,         378,          55,         140.7,            .0,          23.4,          52.8,          64.5,       3230.0,         691.7,       2215.8,         322.4
Hillsboro City Police Dept,OR,12,      94119,         180,           2,          34,          52,          92,       2154,         323,       1716,         115,         191.2,           2.1,          36.1,          55.2,          97.7,       2288.6,         343.2,       1823.2,         122.2
