Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Aiken County Sheriff Department,SC,12,,         351,           4,          41,          47,         259,       3776,       1187,       2173,         416,,,,,,,,,
Aiken Police Dept,SC,12,      29909,         112,           7,           7,          40,          58,       1614,         246,       1290,          78,         374.5,          23.4,          23.4,         133.7,         193.9,       5396.4,         822.5,       4313.1,         260.8
Anderson County Sheriff Department,SC,12,,         809,          10,          40,         110,         649,       6816,       1890,       4251,         675,,,,,,,,,
Anderson Police Dept,SC,12,      27127,         250,           7,          10,          38,         195,       1970,         386,       1458,         126,         921.6,          25.8,          36.9,         140.1,         718.8,       7262.1,       1422.9,       5374.7,         464.5
Beaufort County Sheriff Office,SC,12,,         706,           9,          34,          89,         574,       3489,       1015,       2306,         168,,,,,,,,,
Beaufort Police Dept,SC,12,      12653,         139,           2,           4,          29,         104,         824,         147,         656,          21,       1098.6,          15.8,          31.6,         229.2,         821.9,       6512.3,       1161.8,       5184.5,         166.0
Berkeley County Sheriff Office,SC,12,,         487,          10,          37,          82,         358,       3558,       1010,       2173,         375,,,,,,,,,
Bluffton Police Dept,SC,12,      12855,          39,           0,           5,          15,          19,         461,          72,         372,          17,         303.4,            .0,          38.9,         116.7,         147.8,       3586.2,         560.1,       2893.8,         132.2
Cayce Police Dept,SC,12,      12864,         103,           3,           4,          13,          83,         688,         120,         497,          71,         800.7,          23.3,          31.1,         101.1,         645.2,       5348.3,         932.8,       3863.5,         551.9
Charleston City Police Dept,SC,12,     123856,         296,          12,          19,         104,         161,       3373,         374,       2764,         235,         239.0,           9.7,          15.3,          84.0,         130.0,       2723.3,         302.0,       2231.6,         189.7
Charleston County Sheriff Department,SC,12,,         441,           4,          19,          66,         352,       1803,         546,       1100,         157,,,,,,,,,
Cherokee County Sheriff Department,SC,12,,          79,           1,           0,          12,          66,         440,         190,         187,          63,,,,,,,,,
Chesterfield County Sheriff Office,SC,12,,         138,           2,           7,          11,         118,         977,         244,         677,          56,,,,,,,,,
Clarendon County Sheriff Department,SC,12,,         113,           1,           6,          15,          91,         896,         284,         551,          61,,,,,,,,,
Clemson City Police Dept,SC,12,      14079,          42,           1,           4,           3,          34,         465,          86,         343,          36,         298.3,           7.1,          28.4,          21.3,         241.5,       3302.8,         610.8,       2436.3,         255.7
Colleton County Sheriff Department,SC,12,,         204,           2,          11,           8,         183,       1180,         326,         699,         155,,,,,,,,,
Columbia Police Dept,SC,12,     131833,       1042,           8,          62,         337,         635,       7211,       1723,       4752,         736,         790.4,           6.1,          47.0,         255.6,         481.7,       5469.8,       1307.0,       3604.6,         558.3
Conway Police Dept,SC,10,      17680,         108,           1,          11,          15,          81,         746,         123,         585,          38,,,,,,,,,
Darlington County Sheriff Office,SC,12,,         345,           4,          10,          33,         298,       2332,         938,       1243,         151,,,,,,,,,
Dorchester County Sheriff Department,SC,12,,         345,           3,          25,          53,         264,       2074,         582,       1292,         200,,,,,,,,,
Easley Police Dept,SC,12,      20249,         106,           3,          10,          12,          81,       1329,         224,       1048,          57,         523.5,          14.8,          49.4,          59.3,         400.0,       6563.3,       1106.2,       5175.6,         281.5
Florence County Sheriff Office,SC,12,,         225,           2,           8,          38,         177,       2451,         755,       1514,         182,,,,,,,,,
Florence Police Dept,SC,12,      37681,         328,           3,          25,          83,         217,       2897,         566,       2190,         141,         870.5,           8.0,          66.3,         220.3,         575.9,       7688.2,       1502.1,       5811.9,         374.2
Forest Acres Police Dept,SC,12,      10596,          74,           0,           5,          24,          45,         839,         181,         625,          33,         698.4,            .0,          47.2,         226.5,         424.7,       7918.1,       1708.2,       5898.5,         311.4
Town Of Fort Mill Police Dept,SC,12,      11132,          25,           1,           0,           1,          23,         224,          33,         182,           9,         224.6,           9.0,            .0,           9.0,         206.6,       2012.2,         296.4,       1634.9,          80.8
Gaffney Police Dept,SC,12,      12574,          77,           2,          11,           7,          57,         453,         105,         322,          26,         612.4,          15.9,          87.5,          55.7,         453.3,       3602.7,         835.1,       2560.8,         206.8
Georgetown County Sheriff Office,SC,10,,         137,           2,          11,          10,         114,       1185,         410,         695,          80,,,,,,,,,
Goose Creek Police Dept,SC,12,      37387,         117,           2,          15,          21,          79,         927,         161,         704,          62,         312.9,           5.3,          40.1,          56.2,         211.3,       2479.5,         430.6,       1883.0,         165.8
