Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alamance County Sheriff Department,NC,12,,         116,           1,           7,           8,         100,       1033,         429,         526,          78,,,,,,,,,
Albemarle Police Dept,NC,12,      16071,          86,           0,           8,          19,          59,         946,         297,         615,          34,         535.1,            .0,          49.8,         118.2,         367.1,       5886.4,       1848.0,       3826.8,         211.6
Alexander County Sheriff Department,NC,12,,          36,           1,           6,           6,          23,         803,         335,         425,          43,,,,,,,,,
Apex Police Dept,NC,12,      39085,          33,           0,           3,          10,          20,         557,          88,         454,          15,          84.4,            .0,           7.7,          25.6,          51.2,       1425.1,         225.2,       1161.6,          38.4
Archdale Police Dept,NC,12,      11580,          13,           0,           1,           1,          11,         288,          62,         212,          14,         112.3,            .0,           8.6,           8.6,          95.0,       2487.0,         535.4,       1830.7,         120.9
Asheboro Police Dept,NC,12,      25535,          77,           1,          13,          27,          36,       1798,         404,       1342,          52,         301.5,           3.9,          50.9,         105.7,         141.0,       7041.3,       1582.1,       5255.5,         203.6
Asheville Police Dept,NC,12,      85295,         423,           6,          33,         141,         243,       4910,         742,       3832,         336,         495.9,           7.0,          38.7,         165.3,         284.9,       5756.5,         869.9,       4492.6,         393.9
Beaufort County Sheriff Office,NC,12,,          73,           0,           4,          10,          59,         745,         323,         396,          26,,,,,,,,,
Belmont City Police Dept,NC,12,      10219,          32,           2,           3,           6,          21,         428,          52,         365,          11,         313.1,          19.6,          29.4,          58.7,         205.5,       4188.3,         508.9,       3571.8,         107.6
Bladen County Sheriff Department,NC,12,,         100,           2,           1,          14,          83,       1102,         362,         707,          33,,,,,,,,,
Boone Police Dept,NC,12,      17359,          34,           0,           3,           5,          26,         401,          98,         293,          10,         195.9,            .0,          17.3,          28.8,         149.8,       2310.0,         564.5,       1687.9,          57.6
Brunswick County Sheriff Department,NC,12,,         108,           1,          20,          17,          70,       1825,         684,       1052,          89,,,,,,,,,
Buncombe County Sheriff Department,NC,12,,         144,           4,          18,          34,          88,       1954,         812,         960,         182,,,,,,,,,
Burke County Sheriff Department,NC,12,,         100,           2,           3,          22,          73,       1644,         741,         833,          70,,,,,,,,,
Burlington Police Dept,NC,12,      51430,         406,           2,          17,         105,         282,       2792,         671,       1998,         123,         789.4,           3.9,          33.1,         204.2,         548.3,       5428.7,       1304.7,       3884.9,         239.2
Cabarrus County Sheriff Office,NC,12,,          39,           3,           7,           9,          20,         910,         343,         536,          31,,,,,,,,,
Caldwell County Sheriff Department,NC,12,,          61,           2,           7,          10,          42,       1553,         541,         929,          83,,,,,,,,,
