Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Arkadelphia Police Dept,AR,12,      10698,          48,           5,           5,           3,          35,         407,         111,         290,           6,         448.7,          46.7,          46.7,          28.0,         327.2,       3804.4,       1037.6,       2710.8,          56.1
Baxter County Sheriff Department,AR,12,,          35,           3,           5,           3,          24,         626,         172,         421,          33,,,,,,,,,
Benton County Sheriff Department,AR,12,,         169,           0,          30,           3,         136,         576,         265,         282,          29,,,,,,,,,
Benton Police Dept,AR,12,      31486,         116,           0,          13,          23,          80,       1373,         250,       1036,          87,         368.4,            .0,          41.3,          73.0,         254.1,       4360.7,         794.0,       3290.4,         276.3
Bentonville Police Dept,AR,12,      36433,          82,           2,          15,           5,          60,         740,         153,         561,          26,         225.1,           5.5,          41.2,          13.7,         164.7,       2031.1,         419.9,       1539.8,          71.4
Blytheville Police Dept,AR,12,      15506,         196,           8,           9,          39,         140,       1173,         482,         638,          53,       1264.0,          51.6,          58.0,         251.5,         902.9,       7564.8,       3108.5,       4114.5,         341.8
Bryant Police Dept,AR,12,      17129,          16,           0,           5,          11,           0,         911,         187,         689,          35,          93.4,            .0,          29.2,          64.2,            .0,       5318.5,       1091.7,       4022.4,         204.3
Cabot Police Dept,AR,12,      24212,          61,           0,           5,           6,          50,       1027,         501,         484,          42,         251.9,            .0,          20.7,          24.8,         206.5,       4241.7,       2069.2,       1999.0,         173.5
Camden Police Dept,AR,12,      12118,          70,           1,           0,           9,          60,         590,         178,         405,           7,         577.7,           8.3,            .0,          74.3,         495.1,       4868.8,       1468.9,       3342.1,          57.8
Conway Police Dept,AR,12,      60700,         252,           1,          29,          76,         146,       2539,         410,       2028,         101,         415.2,           1.6,          47.8,         125.2,         240.5,       4182.9,         675.5,       3341.0,         166.4
Crawford County Sheriff Department,AR,12,,         100,           0,           5,           0,          95,         396,         122,         247,          27,,,,,,,,,
El Dorado Police Dept,AR,12,      18860,         197,           1,           2,          29,         165,       1009,         430,         545,          34,       1044.5,           5.3,          10.6,         153.8,         874.9,       5349.9,       2280.0,       2889.7,         180.3
Faulkner County Sheriff Department,AR,5,,          33,           0,          14,           1,          18,         394,         127,         228,          39,,,,,,,,,
Fayetteville Police Dept,AR,12,      75387,         388,           1,          58,          40,         289,       3043,         504,       2406,         133,         514.7,           1.3,          76.9,          53.1,         383.4,       4036.5,         668.6,       3191.5,         176.4
Forrest City Police Dept,AR,12,      15295,         122,           4,           6,          38,          74,       1227,         356,         839,          32,         797.6,          26.2,          39.2,         248.4,         483.8,       8022.2,       2327.6,       5485.5,         209.2
City Of Fort Smith Police Dept,AR,12,      87483,         687,           5,          69,          95,         518,       4771,       1064,       3524,         183,         785.3,           5.7,          78.9,         108.6,         592.1,       5453.6,       1216.2,       4028.2,         209.2
Harrison Police Dept,AR,12,      13043,          60,           1,          11,           1,          47,         672,         157,         489,          26,         460.0,           7.7,          84.3,           7.7,         360.3,       5152.2,       1203.7,       3749.1,         199.3
Helena Police Dept,AR,12,      12152,         165,           1,           8,          26,         130,         932,         470,         431,          31,       1357.8,           8.2,          65.8,         214.0,       1069.8,       7669.5,       3867.7,       3546.7,         255.1
Hope Police Dept,AR,12,      10103,          96,           1,          10,          13,          72,         678,         229,         420,          29,         950.2,           9.9,          99.0,         128.7,         712.7,       6710.9,       2266.7,       4157.2,         287.0
Hot Springs Police Dept,AR,12,      35722,         164,           9,          10,          55,          90,       3067,         622,       2330,         115,         459.1,          25.2,          28.0,         154.0,         251.9,       8585.7,       1741.2,       6522.6,         321.9
Independence County Sheriff Department,AR,12,,         207,           0,          21,          16,         170,       1537,         598,         818,         121,,,,,,,,,
Jacksonville Police Dept,AR,12,      28733,         246,           2,          21,          33,         190,       1693,         416,       1210,          67,         856.2,           7.0,          73.1,         114.9,         661.3,       5892.2,       1447.8,       4211.2,         233.2
Jonesboro Police Dept,AR,12,      68807,         295,           4,          21,          78,         192,       3157,       1166,       1889,         102,         428.7,           5.8,          30.5,         113.4,         279.0,       4588.2,       1694.6,       2745.4,         148.2
Little Rock Police Dept,AR,12,     196055,       2579,          45,         137,         807,       1590,      15804,       4244,      10465,       1095,       1315.4,          23.0,          69.9,         411.6,         811.0,       8061.0,       2164.7,       5337.8,         558.5
Lonoke County Sheriff Department,AR,10,,          78,           0,          12,           2,          64,         502,         164,         283,          55,,,,,,,,,
Magnolia Police Dept,AR,12,      11554,          27,           0,           3,           4,          20,         486,         240,         224,          22,         233.7,            .0,          26.0,          34.6,         173.1,       4206.3,       2077.2,       1938.7,         190.4
Malvern Police Dept,AR,11,      10346,          20,           0,           5,           4,          11,         130,          36,          88,           6,,,,,,,,,
Marion Police Dept,AR,12,      12300,          63,           0,           5,          10,          48,         437,         171,         245,          21,         512.2,            .0,          40.7,          81.3,         390.2,       3552.8,       1390.2,       1991.9,         170.7
Maumelle Police Dept,AR,12,      17391,          28,           1,           1,           5,          21,         361,          52,         302,           7,         161.0,           5.8,           5.8,          28.8,         120.8,       2075.8,         299.0,       1736.5,          40.3
Mountain Home Police Dept,AR,12,      12501,           7,           0,           6,           0,           1,         548,          32,         505,          11,          56.0,            .0,          48.0,            .0,           8.0,       4383.6,         256.0,       4039.7,          88.0
