Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Abington Twp (Montgomery Co) Police Dept,PA,12,      55731,         110,           1,           8,          39,          62,       1103,         165,         920,          18,         197.4,           1.8,          14.4,          70.0,         111.2,       1979.1,         296.1,       1650.8,          32.3
Adams Twp (Butler Co) Police Dept,PA,12,      11735,           7,           0,           0,           1,           6,          45,          13,          31,           1,          59.7,            .0,            .0,           8.5,          51.1,         383.5,         110.8,         264.2,           8.5
Allentown City Police Dept,PA,12,     119334,         653,          15,          54,         374,         210,       4603,       1248,       2987,         368,         547.2,          12.6,          45.3,         313.4,         176.0,       3857.2,       1045.8,       2503.1,         308.4
Altoona City Police Dept,PA,12,      46404,         163,           2,          31,          32,          98,         903,         226,         641,          36,         351.3,           4.3,          66.8,          69.0,         211.2,       1946.0,         487.0,       1381.3,          77.6
Amity Twp (Berks Co) Police Dept,PA,12,      12625,           3,           0,           2,           1,           0,         122,          27,          88,           7,          23.8,            .0,          15.8,           7.9,            .0,         966.3,         213.9,         697.0,          55.4
Aston Twp Police Dept,PA,12,      16629,          24,           0,           4,           2,          18,         258,          38,         212,           8,         144.3,            .0,          24.1,          12.0,         108.2,       1551.5,         228.5,       1274.9,          48.1
Baldwin Boro Police Dept,PA,12,      19841,          22,           1,           1,           8,          12,         160,          36,         104,          20,         110.9,           5.0,           5.0,          40.3,          60.5,         806.4,         181.4,         524.2,         100.8
Bensalem Twp Police Dept,PA,12,      60665,          80,           1,           7,          39,          33,       2205,         336,       1780,          89,         131.9,           1.6,          11.5,          64.3,          54.4,       3634.7,         553.9,       2934.1,         146.7
Northeastern Berks Regional Police Dept,PA,12,      31206,          13,           1,           1,           3,           8,         356,          66,         274,          16,          41.7,           3.2,           3.2,           9.6,          25.6,       1140.8,         211.5,         878.0,          51.3
Berwick Boro Police Dept,PA,12,      10480,          25,           0,           9,           6,          10,         490,         148,         335,           7,         238.5,            .0,          85.9,          57.3,          95.4,       4675.6,       1412.2,       3196.6,          66.8
Bethel Park Police Dept,PA,12,      32433,          31,           0,           0,           7,          24,         329,          45,         276,           8,          95.6,            .0,            .0,          21.6,          74.0,       1014.4,         138.7,         851.0,          24.7
Bethlehem City (Northampton Co) Police Dept,PA,12,      75388,         238,           2,          19,         121,          96,       1948,         377,       1488,          83,         315.7,           2.7,          25.2,         160.5,         127.3,       2584.0,         500.1,       1973.8,         110.1
Bethleham Twp (Northampton Co) Police Dept,PA,12,      23817,          20,           0,           2,           6,          12,         334,          56,         271,           7,          84.0,            .0,           8.4,          25.2,          50.4,       1402.4,         235.1,       1137.8,          29.4
Bloomsburg Town Police Dept,PA,12,      15135,          20,           0,           1,           2,          17,         266,          51,         211,           4,         132.1,            .0,           6.6,          13.2,         112.3,       1757.5,         337.0,       1394.1,          26.4
Bristol Twp Police Dept,PA,12,      54796,         112,           0,           9,          73,          30,       1724,         363,       1256,         105,         204.4,            .0,          16.4,         133.2,          54.7,       3146.2,         662.5,       2292.1,         191.6
