Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Androscoggin County Sheriff Department,ME,12,,          11,           0,           8,           2,           1,         239,         106,         129,           4,,,,,,,,,
Aroostook County Sheriff Department,ME,12,,           1,           0,           0,           0,           1,          68,          26,          38,           4,,,,,,,,,
Auburn Police Dept,ME,12,      23002,          47,           0,          15,          18,          14,       1123,         179,         913,          31,         204.3,            .0,          65.2,          78.3,          60.9,       4882.2,         778.2,       3969.2,         134.8
Augusta Police Dept,ME,12,      19117,          88,           1,          16,          27,          44,       1186,         241,         914,          31,         460.3,           5.2,          83.7,         141.2,         230.2,       6203.9,       1260.7,       4781.1,         162.2
Bangor Police Dept,ME,12,      33036,          76,           6,           7,          40,          23,       1842,         253,       1543,          46,         230.1,          18.2,          21.2,         121.1,          69.6,       5575.7,         765.8,       4670.7,         139.2
Biddeford Police Dept,ME,12,      21402,          95,           2,           5,          13,          75,       1208,         189,         995,          24,         443.9,           9.3,          23.4,          60.7,         350.4,       5644.3,         883.1,       4649.1,         112.1
Brunswick Police Dept,ME,12,      20343,          20,           0,           6,           3,          11,         595,          99,         470,          26,          98.3,            .0,          29.5,          14.7,          54.1,       2924.8,         486.7,       2310.4,         127.8
Cumberland County Sheriff Department,ME,12,,          29,           0,           2,           7,          20,         775,         312,         425,          38,,,,,,,,,
Falmouth Police Dept,ME,12,      11221,           3,           0,           0,           0,           3,         167,          26,         141,           0,          26.7,            .0,            .0,            .0,          26.7,       1488.3,         231.7,       1256.6,            .0
Gorham Police Dept,ME,12,      16432,          22,           0,           4,           7,          11,         212,          46,         156,          10,         133.9,            .0,          24.3,          42.6,          66.9,       1290.2,         279.9,         949.4,          60.9
Hancock County Sheriff Office,ME,12,,           2,           0,           0,           1,           1,         246,          47,         196,           3,,,,,,,,,
Kennebec County Sheriff Department,ME,12,,          20,           0,          11,           2,           7,         425,         162,         242,          21,,,,,,,,,
Kennebunk Police Dept,ME,12,      10864,          10,           0,           7,           0,           3,         155,          43,         111,           1,          92.0,            .0,          64.4,            .0,          27.6,       1426.7,         395.8,       1021.7,           9.2
Lewiston Police Dept,ME,12,      36519,          80,           0,          15,          43,          22,       1387,         328,       1018,          41,         219.1,            .0,          41.1,         117.7,          60.2,       3798.0,         898.2,       2787.6,         112.3
Orono Police Dept,ME,12,      10364,           3,           0,           0,           2,           1,         205,          27,         175,           3,          28.9,            .0,            .0,          19.3,           9.6,       1978.0,         260.5,       1688.5,          28.9
Oxford County Sheriff Department,ME,12,,          19,           0,           9,           4,           6,         355,         125,         220,          10,,,,,,,,,
Penobscot County Sheriff' S Department,ME,12,,          11,           0,           2,           6,           3,         616,         219,         365,          32,,,,,,,,,
Portland Police Dept,ME,12,      66413,         173,           1,          33,          82,          57,       2632,         411,       2139,          82,         260.5,           1.5,          49.7,         123.5,          85.8,       3963.1,         618.9,       3220.8,         123.5
Saco Police Dept,ME,12,      18595,          24,           1,           4,          10,           9,         471,          93,         365,          13,         129.1,           5.4,          21.5,          53.8,          48.4,       2532.9,         500.1,       1962.9,          69.9
Sanford Police Dept,ME,12,      20925,          64,           0,          26,          16,          22,         794,         144,         618,          32,         305.9,            .0,         124.3,          76.5,         105.1,       3794.5,         688.2,       2953.4,         152.9
Scarborough Police Dept,ME,12,      18982,          10,           0,           6,           4,           0,         500,          65,         425,          10,          52.7,            .0,          31.6,          21.1,            .0,       2634.1,         342.4,       2239.0,          52.7
Somerset County Sheriff Office,ME,12,,          21,           0,          10,           3,           8,         376,         156,         209,          11,,,,,,,,,
South Portland Police Dept,ME,12,      25087,          49,           0,           3,          11,          35,         966,         108,         847,          11,         195.3,            .0,          12.0,          43.8,         139.5,       3850.6,         430.5,       3376.3,          43.8
Waldo County Sheriff Department,ME,12,,          13,           0,           2,           1,          10,         242,         104,         130,           8,,,,,,,,,
Waterville Police Dept,ME,12,      15709,          43,           1,          15,           9,          18,         758,         154,         589,          15,         273.7,           6.4,          95.5,          57.3,         114.6,       4825.3,         980.3,       3749.4,          95.5
Westbrook Police Dept,ME,12,      17553,          33,           0,           7,          15,          11,         608,          66,         532,          10,         188.0,            .0,          39.9,          85.5,          62.7,       3463.8,         376.0,       3030.8,          57.0
Windham Town Police Dept,ME,12,      17054,          17,           0,           3,           5,           9,         325,          65,         251,           9,          99.7,            .0,          17.6,          29.3,          52.8,       1905.7,         381.1,       1471.8,          52.8
York County Sheriff Department,ME,12,,          30,           0,           4,           3,          23,         383,         129,         231,          23,,,,,,,,,
York Town Police Dept,ME,12,      12608,           2,           0,           1,           1,           0,         245,          58,         184,           3,          15.9,            .0,           7.9,           7.9,            .0,       1943.2,         460.0,       1459.4,          23.8

"Notes: When data are unavailable, the cells are blank or the year is not presented."

          Crime rates are not available for agencies that report data for less than 12 months of a year.

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Jan 29 2016 
