Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Adams County Sheriff Department,CO,12,,         419,           7,          70,          55,         287,       2346,         521,       1404,         421,,,,,,,,,
Arapahoe County Sheriff Department,CO,12,,         218,           1,          38,          31,         148,       1293,         358,         818,         117,,,,,,,,,
Arvada Police Dept,CO,12,     109029,         158,           0,          22,          29,         107,       2605,         390,       2014,         201,         144.9,            .0,          20.2,          26.6,          98.1,       2389.3,         357.7,       1847.2,         184.4
Aurora Police Dept,CO,12,     336952,       1433,          29,         179,         483,         742,      10059,       1791,       7370,         898,         425.3,           8.6,          53.1,         143.3,         220.2,       2985.3,         531.5,       2187.3,         266.5
Boulder County Sheriff Department,CO,12,,          54,           0,          13,           5,          36,         521,         147,         339,          35,,,,,,,,,
Boulder Police Dept,CO,12,     100257,         249,           0,          32,          48,         169,       2937,         472,       2337,         128,         248.4,            .0,          31.9,          47.9,         168.6,       2929.5,         470.8,       2331.0,         127.7
Brighton Police Dept,CO,12,      34540,         119,           2,          22,          15,          80,         992,         126,         801,          65,         344.5,           5.8,          63.7,          43.4,         231.6,       2872.0,         364.8,       2319.1,         188.2
Broomfield County,CO,12,      58145,          30,           1,           7,           6,          16,       1213,          90,       1076,          47,          51.6,           1.7,          12.0,          10.3,          27.5,       2086.2,         154.8,       1850.5,          80.8
Canon City Police Dept,CO,12,      16727,          93,           0,          23,           4,          66,         539,          75,         445,          19,         556.0,            .0,         137.5,          23.9,         394.6,       3222.3,         448.4,       2660.4,         113.6
Castle Rock Police Dept,CO,12,      50038,          45,           1,          12,           7,          25,         666,         102,         538,          26,          89.9,           2.0,          24.0,          14.0,          50.0,       1331.0,         203.8,       1075.2,          52.0
Centennial,CO,12,     104022,         157,           1,          40,          33,          83,       1439,         277,       1085,          77,         150.9,           1.0,          38.5,          31.7,          79.8,       1383.4,         266.3,       1043.0,          74.0
Colorado Springs,CO,12,     432287,       1968,          18,         358,         523,       1069,      17899,       3641,      12456,       1802,         455.3,           4.2,          82.8,         121.0,         247.3,       4140.5,         842.3,       2881.4,         416.9
Commerce City Police Dept,CO,12,      47590,         170,           7,          27,          17,         119,       1420,         295,       1001,         124,         357.2,          14.7,          56.7,          35.7,         250.1,       2983.8,         619.9,       2103.4,         260.6
